station_id,station_name,station_code,latitude,longitude,timezone,city_id
67,Woerth (Rhein),StopPoint:OCETrain TER-80191031,49.0457,8.2732,Europe/Paris,7807
68,Hagenbach,StopArea:OCE80191049,49.016,8.253,Europe/Paris,4390
69,Hagenbach,StopPoint:OCETrain TER-80191049,49.016,8.253,Europe/Paris,4390
70,Berg (Pfalz),StopArea:OCE80191064,48.9807,8.2128,Europe/Paris,3002
71,Berg (Pfalz),StopPoint:OCETrain TER-80191064,48.9807,8.2128,Europe/Paris,3002
72,Neustadt (Weinstr) Hbf,StopArea:OCE80194043,49.3496,8.1403,Europe/Paris,5894
73,Neustadt (Weinstr) Hbf,StopPoint:OCETrain TER-80194043,49.3496,8.1403,Europe/Paris,5894
74,Maikammer-Kirrweiler,StopArea:OCE80194209,49.30556,8.147223,Europe/Paris,5377
75,Maikammer-Kirrweiler,StopPoint:OCETrain TER-80194209,49.30556,8.147223,Europe/Paris,5377
76,Edenkoben,StopArea:OCE80194217,49.28185,8.14055,Europe/Paris,3975
77,Edenkoben,StopPoint:OCETrain TER-80194217,49.28185,8.14055,Europe/Paris,3975
78,Edesheim (Pfalz),StopArea:OCE80194225,49.263611,8.139167,Europe/Paris,3976
79,Edesheim (Pfalz),StopPoint:OCETrain TER-80194225,49.263611,8.139167,Europe/Paris,3976
80,Knöringen-Essingen,StopArea:OCE80194233,49.2375,8.148334,Europe/Paris,4594
81,Knöringen-Essingen,StopPoint:OCETrain TER-80194233,49.2375,8.148334,Europe/Paris,4594
82,Landau (Pfalz) Hbf,StopArea:OCE80194266,49.1982,8.126,Europe/Paris,4891
83,Landau (Pfalz) Hbf,StopPoint:OCETrain TER-80194266,49.1982,8.126,Europe/Paris,4891
84,Insheim,StopArea:OCE80194308,49.15724,8.15214,Europe/Paris,4511
85,Insheim,StopPoint:OCETrain TER-80194308,49.15724,8.15214,Europe/Paris,4511
86,Rohrbach (Pfalz),StopArea:OCE80194316,49.13812,8.14165,Europe/Paris,6447
87,Rohrbach (Pfalz),StopPoint:OCETrain TER-80194316,49.13812,8.14165,Europe/Paris,6447
88,Winden (Pfalz),StopArea:OCE80194324,49.0954,8.1224,Europe/Paris,7797
89,Winden (Pfalz),StopPoint:OCETrain TER-80194324,49.0954,8.1224,Europe/Paris,7797
90,Schaidt (Pfalz),StopArea:OCE80194332,49.061111,8.079722,Europe/Paris,7100
91,Schaidt (Pfalz),StopPoint:OCETrain TER-80194332,49.061111,8.079722,Europe/Paris,7100
92,Kaiserslautern Hbf,StopArea:OCE80196980,49.4359,7.7688,Europe/Paris,4576
93,Kaiserslautern Hbf,StopPoint:OCEICE-80196980,49.4359,7.7688,Europe/Paris,4576
94,Kapsweyer,StopArea:OCE80197871,49.038889,8.022222,Europe/Paris,4581
95,Kapsweyer,StopPoint:OCETrain TER-80197871,49.038889,8.022222,Europe/Paris,4581
96,Munich,StopArea:OCE80203471,48.1401,11.5587,Europe/Paris,5816
97,Munich,StopPoint:OCEICE-80203471,48.1401,11.5587,Europe/Paris,5816
98,Halle (Saale) Hbf,StopArea:OCE80230029,51.477,11.9866,Europe/Paris,4396
99,Halle (Saale) Hbf,StopPoint:OCEICE-80230029,51.477,11.9866,Europe/Paris,4396
100,Trèves,StopArea:OCE80251819,49.7568,6.6522,Europe/Paris,7424
101,Trèves,StopPoint:OCETrain TER-80251819,49.7568,6.6522,Europe/Paris,7424
102,Konz Mitte,StopArea:OCE80251850,49.700046,6.57329,Europe/Paris,4599
103,Konz Mitte,StopPoint:OCETrain TER-80251850,49.700046,6.57329,Europe/Paris,4599
104,Perl,StopArea:OCE80251967,49.4731,6.3693,Europe/Paris,6103
105,Perl,StopPoint:OCETrain TER-80251967,49.4731,6.3693,Europe/Paris,6103
106,Sarrebruck,StopArea:OCE80253914,49.241,6.991,Europe/Paris,7052
107,Sarrebruck,StopPoint:OCECar TER-80253914,49.241,6.991,Europe/Paris,7052
108,Sarrebruck,StopPoint:OCEICE-80253914,49.241,6.991,Europe/Paris,7052
109,Sarrebruck,StopPoint:OCETrain TER-80253914,49.241,6.991,Europe/Paris,7052
110,Sarrebruck,StopPoint:OCETramTrain-80253914,49.241,6.991,Europe/Paris,7052
111,Stuttgart Hbf,StopArea:OCE80290346,48.7846,9.1837,Europe/Paris,7236
112,Stuttgart Hbf,StopPoint:OCEICE-80290346,48.7846,9.1837,Europe/Paris,7236
113,Esslingen (Neckar),StopArea:OCE80290551,48.7388,9.3001,Europe/Paris,4027
114,Esslingen (Neckar),StopPoint:OCEICE-80290551,48.7388,9.3001,Europe/Paris,4027
115,Ulm Hbf,StopArea:OCE80291039,48.3996,9.9828,Europe/Paris,7439
116,Ulm Hbf,StopPoint:OCEICE-80291039,48.3996,9.9828,Europe/Paris,7439
117,Vaihingen (Enz),StopArea:OCE80297796,48.948056,8.9575,Europe/Paris,7458
118,Vaihingen (Enz),StopPoint:OCEICE-80297796,48.948056,8.9575,Europe/Paris,7458
119,Steinfeld (Pfalz),StopArea:OCE80359331,49.044722,8.039444,Europe/Paris,7228
120,Steinfeld (Pfalz),StopPoint:OCETrain TER-80359331,49.044722,8.039444,Europe/Paris,7228
121,Schweighofen,StopArea:OCE80359349,49.03278,7.999166,Europe/Paris,7109
122,Schweighofen,StopPoint:OCETrain TER-80359349,49.03278,7.999166,Europe/Paris,7109
123,Maximiliansau Im Ruesten,StopArea:OCE80646133,49.035,8.2796,Europe/Paris,5509
124,Maximiliansau Im Ruesten,StopPoint:OCETrain TER-80646133,49.035,8.2796,Europe/Paris,5509
125,Neuburg (Rhein),StopArea:OCE80646141,48.9921,8.2381,Europe/Paris,5875
126,Neuburg (Rhein),StopPoint:OCETrain TER-80646141,48.9921,8.2381,Europe/Paris,5875
127,Berlin Hbf-Lehrter Bahnhof Nord,StopArea:OCE80659698,52.52513,13.36925,Europe/Paris,3008
128,Berlin Hbf-Lehrter Bahnhof Nord,StopPoint:OCEICE-80659698,52.52513,13.36925,Europe/Paris,3008
129,Berlin Suedkreuz,StopArea:OCE80659714,52.4761,13.3661,Europe/Paris,3009
130,Berlin Suedkreuz,StopPoint:OCEICE-80659714,52.4761,13.3661,Europe/Paris,3009
131,Neustadt (Weinstraße) Süd,StopArea:OCE80920793,49.341274,8.157027,Europe/Paris,5895
132,Neustadt (Weinstraße) Süd,StopPoint:OCETrain TER-80920793,49.341274,8.157027,Europe/Paris,5895
133,Luxembourg,StopArea:OCE82001000,49.599722,6.134722,Europe/Paris,5330
