Nom_Gare;Trigramme;Segment(s) DRG;Position géographique;Code commune;Code_UIC;Id_Gare
Amifontaine;AMF;C;49.4847322, 3.9105811;02013;87171744;af43834b-3715-43ae-a37a-60ed858dcfb1
Amilly Ouerray;AMY;C;48.4381825, 1.3892882;28006;87394205;8f451dc2-ad45-4f66-b656-35a6d3c84d6e
Amplepuis;AMP;B;45.970982, 4.326844;69006;87721035;d3fe01ae-2955-405f-ac7a-919997afd63b
Ancenis;ANC;B;47.369334, -1.177763;44003;87481192;8a876ae7-14e9-4b9a-8a4a-639d0602bbf0
Anchamps;ACP;C;49.9307448, 4.6702434;08011;87172858;f1338f02-5550-47c3-b1e3-d839544aca22
Anché - Voulon;ACV;C;46.3496187, 0.2503424;86003;87575332;0ef8011c-fe01-4c57-b05f-11ef10693e40
Ancy-sur-Moselle;AYM;C;49.0575093, 6.0627661;57021;87192419;1887862e-4523-46ad-ab1e-b85b598b2723
Andelot-en-Montagne;AND;C;46.8594671, 5.923584;39009;87715102;0d6aac4b-554d-41e1-ad08-06b510678ea8
Andorre – l’Hospitalet;LHT;C;42.5894535, 1.8002635;09139;87611517;93511b71-a751-4a8d-b00b-4e439392858e
Andrésy;ACY;B;48.9747, 2.04928;78015;87381491;40699b7f-d1d8-4e3f-96ad-670775d41b14
Andrézieux-Bouthéon;ANZ;C;45.5217037, 4.254834;42005;87726406;c51c9acc-1714-4a73-92a0-d9c7341da5d0
Angers Maître École;AME;C;47.4670899, -0.531894;49007;87484048;c27e171a-ed5f-4f42-80dd-7dca6f1f57d6
Angers Saint-Laud;ASL;A;47.464647, -0.55682;49007;87484006;3730810c-71aa-49d4-b620-88750e4189dc
Angerville;AGV;B;48.3112062, 2.0034931;91016;87543090;350645e1-943d-45f7-afe4-149e34887402
Angoulême;ANG;A;45.653572, 0.164608;16015;87583005;0d1f6d5b-15a8-4d08-9474-2ca0bc17bd2e
Angoulins sur Mer;AOM;C;46.108057, -1.1154503;17010;87485102;c8767d95-2ab3-40fb-a252-30e726dd8c82
Anizy - Pinon;API;B;49.4960073, 3.4487637;02602;87296566;2e780221-d296-45e2-86e0-08f094366229
Annappes;ANP;C;50.6227708, 3.1475351;59009;87286856;c2559fdc-043c-4968-91c0-dede0a1b0a8c
Annecy;ANY;A;45.901965, 6.121835;74010;87746008;60906013-799a-4fc3-b586-6675ad30cd57
Annemasse;ANE;B;46.199222, 6.23652;74012;87745497;6e6aa7eb-c607-4ee7-a4af-9ca188f908db
Anor;ANO;C;49.984892, 4.0929803;59012;87295055;adf1ec40-ae2f-4273-b140-2685f1895cfb
Anse Halte;AHA;B;45.93929, 4.71987;69009;87721324;303749b5-8f03-4fac-bea3-e5e281a6206a
Anthéor Cap Roux;AHC;C;43.4349641, 6.8921036;83118;87757567;b6ea11e9-3d9a-41aa-b6c2-c55943bdd067
Antibes;ATB;A;43.585784, 7.119498;06004;87757674;458dc9e9-fee6-439c-98dd-64f0c7b7a00b
Anvin;ANV;C;50.446845, 2.25494;62036;87317255;05738f3f-8a9a-4e64-9989-db8255399c5c
Apach;APJ;C;49.458836, 6.371972;57026;87191643;2bbcab98-8e8a-4ed4-aaa4-e72b0b21829e
