route_id,departure_station_id,arrival_station_id,departure_station_name,arrival_station_name,departure_city_name,arrival_city_name,departure_country_name,arrival_country_name,departure_country_code,arrival_country_code,operator_name,is_international,distance_km,trip_count,weekly_frequency,daily_frequency_avg,avg_duration_minutes,min_duration_minutes,max_duration_minutes,main_train_type,has_night_train,has_day_train,avg_num_stops,min_num_stops,max_num_stops,avg_quality_score,min_quality_score,quality_issues_count,co2_train_kg,co2_plane_kg,co2_saving_kg,co2_saving_percent,substitution_score,substitution_potential
3616,7496,5543,Le Puy-en-Velay,Marvejols Place du Chayla,Le Puy-en-Velay,Marvejols Place du Chayla,France,France,FR,FR,SNCF VOYAGEURS,0,71.97,1,1.0,0.14,140.0,140.0,140.0,day,0,1,6.0,6,6,100.0,100,0,1.01,16.55,15.55,93.91,45,moyen
3617,5543,7496,Marvejols Place du Chayla,Le Puy-en-Velay,Marvejols Place du Chayla,Le Puy-en-Velay,France,France,FR,FR,SNCF VOYAGEURS,0,71.97,1,1.0,0.14,146.0,146.0,146.0,day,0,1,6.0,6,6,100.0,100,0,1.01,16.55,15.55,93.91,45,moyen
3618,16,325,Francfort sur le Main,Paris Est,Francfort sur le Main,Paris Est,France,France,FR,FR,SNCF VOYAGEURS,0,475.26,38,1.9,0.27,239.05,223.0,261.0,day,0,1,3.24,2,4,100.0,100,0,6.65,109.31,102.66,93.91,75,fort
3619,325,16,Paris Est,Francfort sur le Main,Paris Est,Francfort sur le Main,France,France,FR,FR,SNCF VOYAGEURS,0,475.26,51,3.19,0.46,245.02,230.0,293.0,day,0,1,3.33,2,4,100.0,100,0,6.65,109.31,102.66,93.91,80,fort
3620,4684,5262,Agen,Auch,Agen,Auch,France,France,FR,FR,SNCF VOYAGEURS,0,62.35,13,13.0,1.86,100.0,100.0,100.0,day,0,1,13.0,13,13,100.0,100,0,0.87,14.34,13.47,93.91,55,moyen
3621,5262,4684,Auch,Agen,Auch,Agen,France,France,FR,FR,SNCF VOYAGEURS,0,62.35,9,9.0,1.29,100.0,100.0,100.0,day,0,1,13.0,13,13,100.0,100,0,0.87,14.34,13.47,93.91,50,moyen
3622,46,327,Freiburg (Breisgau) Hbf,Paris Est,Freiburg (Breisgau) Hbf,Paris Est,France,France,FR,FR,SNCF VOYAGEURS,0,416.03,12,0.9,0.13,181.58,175.0,209.0,day,0,1,3.58,3,4,100.0,100,0,5.82,95.69,89.86,93.91,70,fort
3623,5901,8027,Auch Allée Baylac,Montauban la Fobio,Auch Allée Baylac,Montauban la Fobio,France,France,FR,FR,SNCF VOYAGEURS,0,75.11,7,7.0,1.0,124.0,124.0,124.0,day,0,1,15.0,15,15,100.0,100,0,1.05,17.28,16.22,93.91,50,moyen
3624,8027,5901,Montauban la Fobio,Auch Allée Baylac,Montauban la Fobio,Auch Allée Baylac,France,France,FR,FR,SNCF VOYAGEURS,0,75.11,6,6.0,0.86,123.33,120.0,124.0,day,0,1,15.0,15,15,100.0,100,0,1.05,17.28,16.22,93.91,50,moyen
3625,327,46,Paris Est,Freiburg (Breisgau) Hbf,Paris Est,Freiburg (Breisgau) Hbf,France,France,FR,FR,SNCF VOYAGEURS,0,416.03,5,0.39,0.06,184.8,181.0,189.0,day,0,1,4.0,4,4,100.0,100,0,5.82,95.69,89.86,93.91,70,fort
